mean,std,max,min,range,skewness,kurtosis,rms,crest_factor,variance,zero_crossings,dominant_freq,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_flatness,event,event_str,label
5.047672247811996e-05,0.0427633111618065,0.4382990046844027,-0.2974447839950078,0.7357437886794105,0.6334365234994769,18.173248643446303,0.0427633409525144,10.249409772989951,0.0018287007815214,939,125.0,7.737608843177465e-05,251.00098026533936,256.6372021951045,0.0011311485770765,squat E,squat E,1
-3.824092559890904e-05,0.0216764745802359,0.0744670052092095,-0.084291878334823,0.1587588835440326,0.0046418532153119,0.0686712989672928,0.0216765083119031,3.4353782508559174,0.0004698695502276,1055,450.0,1.8707067737579986e-05,424.666443896946,317.3011457915245,0.0027302971966866,normal,normal,0
3.990946702077318e-05,0.049752832923367,0.5338618213534536,-0.6268329654741739,1.1606947868276274,0.5084115575987804,42.479473138687176,0.049752848930147,10.73027641297477,0.0024753443839004,1009,475.0,9.74631737224523e-05,428.06668115097983,223.24816855603956,0.0009479946258505,squat F,squat F,1
-0.0001333093786865,0.0234707633513997,0.0690582345508032,-0.0809484271674685,0.1500066617182718,-0.0688287582223068,0.1565419426488064,0.0234711419340401,2.9422613839954805,0.0005508767322974,201,475.0,2.1043551979969905e-05,445.6209458577826,251.212495437356,0.0020006583408961,normal,normal,0
4.9421209447646686e-05,0.0418456166213907,0.669919698045534,-0.5112222574364296,1.1811419554819635,0.6955243771626876,54.36460871347017,0.0418456458055119,16.00930479503537,0.0017510556304244,1055,375.0,7.470169467208957e-05,415.3582489031879,251.8897263942979,0.0009628759187851,squat G,squat G,1
-0.0002267101429323,0.0197212150781139,0.0708605349702396,-0.0504966590443756,0.1213571940146152,0.0807705419364422,-0.0535121244255067,0.0197225181365396,3.592874625829705,0.0003889263241572,137,375.0,1.5231186111560472e-05,413.648996391437,248.31323906129597,0.0022937098218173,normal,normal,0
-2.701410302689272e-05,0.0432517725346155,0.4210451589548168,-0.4208582353592612,0.8419033943140781,0.2489420081767996,32.67089983057599,0.0432517809708211,9.73474732147714,0.0018707158273861,921,425.0,7.338048037430055e-05,344.4613439681115,191.8172744045698,0.0008703831823112,squat F,squat F,1
0.000160273744162,0.0187829395573317,0.0564655621043291,-0.0485667156236863,0.1050322777280155,0.2235200415180492,-0.1817949997497727,0.0187836233482106,3.006105960366168,0.0003527988184143,152,475.0,1.4328656541563536e-05,361.74813186321006,254.1897463921048,0.002269187164629,normal,normal,0
2.0295417094281623e-05,0.0900150840827651,1.5750786032783848,-1.1035058079419018,2.6785844112202866,1.4182128750297025,86.34890005655029,0.0900150863707369,17.497940254050878,0.0081027153624272,976,450.0,0.0003233393175731,360.3785805813053,166.15230099573904,0.0002824927588975,squat G,squat G,1
-3.4555901058312325e-05,0.0128574447389792,0.058716176174756,-0.0544736756982244,0.1131898518729804,-0.031333157565847,0.6724074748733835,0.0128574911754277,4.566689984354798,0.0001653138852159,991,325.0,6.269502318791434e-06,378.13377291470863,357.25350105756286,0.005245118926809,normal,normal,0
3.5126843095591424e-05,0.0077776282831886,0.0517669445942102,-0.0502154346190867,0.101982379213297,-0.0343176605661673,4.099472568301514,0.007777707606137,6.655810068427252,6.0491501711456384e-05,1350,150.0,2.42033243841165e-06,374.6493056886263,524.7890655105499,0.0113670525947164,squat H,squat H,1
